t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
491647,2790,1784,2463,2556,2323,0,0,0,0,0,0,0,0,A
491657,2793,1773,2472,2569,2321,0,0,0,0,0,0,0,0,A
491692,2805,1766,2473,2567,2324,0,0,0,0,0,0,0,0,A
491702,2794,1770,2477,2563,2327,0,0,0,0,0,0,0,0,A
491737,2799,1778,2478,2562,2329,0,0,0,0,0,0,0,0,A
491747,2798,1776,2472,2572,2335,0,0,0,0,0,0,0,0,A
491782,2792,1776,2471,2551,2321,0,0,0,0,0,0,0,0,A
491792,2790,1776,2468,2565,2331,0,0,0,0,0,0,0,0,A
491827,2798,1779,2477,2559,2326,0,0,0,0,0,0,0,0,A
491837,2793,1773,2455,2564,2313,0,0,0,0,0,0,0,0,A
491872,2794,1783,2465,2566,2302,0,0,0,0,0,0,0,0,A
491882,2791,1771,2466,2566,2328,0,0,0,0,0,0,0,0,A
491917,2789,1761,2468,2563,2320,0,0,0,0,0,0,0,0,A
491927,2786,1772,2480,2570,2332,0,0,0,0,0,0,0,0,A
491962,2785,1750,2471,2568,2327,0,0,0,0,0,0,0,0,A
491972,2792,1776,2473,2571,2306,0,0,0,0,0,0,0,0,A
492007,2789,1767,2484,2564,2331,0,0,0,0,0,0,0,0,A
492017,2785,1779,2465,2560,2320,0,0,0,0,0,0,0,0,A
492052,2798,1776,2477,2567,2336,0,0,0,0,0,0,0,0,A
492062,2798,1777,2469,2557,2332,0,0,0,0,0,0,0,0,A
492097,2796,1772,2466,2568,2327,0,0,0,0,0,0,0,0,A
492107,2797,1773,2478,2567,2327,0,0,0,0,0,0,0,0,A
492142,2794,1774,2469,2568,2328,0,0,0,0,0,0,0,0,A
492152,2794,1770,2470,2563,2328,0,0,0,0,0,0,0,0,A
492187,2783,1765,2480,2563,2333,0,0,0,0,0,0,0,0,A
492197,2792,1780,2467,2560,2331,0,0,0,0,0,0,0,0,A
492232,2799,1773,2469,2564,2328,0,0,0,0,0,0,0,0,A
492242,2793,1780,2472,2560,2322,0,0,0,0,0,0,0,0,A
492277,2784,1771,2479,2560,2335,0,0,0,0,0,0,0,0,A
492287,2782,1787,2476,2564,2322,0,0,0,0,0,0,0,0,A
492322,2793,1768,2471,2571,2324,0,0,0,0,0,0,0,0,A
492332,2799,1772,2471,2569,2337,0,0,0,0,0,0,0,0,A
492367,2793,1771,2484,2557,2312,0,0,0,0,0,0,0,0,A
492377,2788,1771,2471,2557,2327,0,0,0,0,0,0,0,0,A
492412,2792,1767,2470,2556,2345,0,0,0,0,0,0,0,0,A
492422,2790,1764,2482,2562,2326,0,0,0,0,0,0,0,0,A
492457,2799,1767,2481,2549,2336,0,0,0,0,0,0,0,0,A
492467,2790,1769,2465,2565,2345,0,0,0,0,0,0,0,0,A
492502,2779,1774,2478,2561,2320,0,0,0,0,0,0,0,0,A
