gesture_id,Ax,Ay,Az
4,1.226,-0.074,10.032
4,1.25,-0.069,10.032
4,1.276,-0.067,9.972
4,1.264,-0.079,9.984
4,1.245,-0.086,9.998
4,1.247,-0.067,9.989
4,1.312,-0.065,9.981
4,1.29,-0.081,10.005
4,1.252,-0.098,10.008
4,1.262,-0.043,9.993
4,1.255,-0.081,9.984
4,1.271,-0.081,10.027
4,1.298,-0.079,10.013
4,1.267,-0.053,10.003
4,1.281,-0.057,10.02
4,1.259,-0.089,10.013
4,1.29,-0.067,9.996
4,0.615,0.383,9.895
4,1.19,-0.12,10.008
4,-0.599,-0.019,10.053
4,0.946,0.285,9.934
4,1.494,-0.35,10.003
4,0.369,-0.18,10.118
4,-0.01,0.038,10.096
4,0.278,-0.129,10.099
4,0.546,-0.177,10.015
4,-0.079,0.249,10.082
4,-0.012,-0.105,10.127
4,0.752,0.057,10.092
4,0.089,0.211,10.096
4,1.326,-0.096,9.979
4,0.239,-0.024,10.029
4,1.164,-0.053,10.092
4,1.211,-0.096,9.969
4,-0.103,0.342,10.077
4,0.294,0.294,10.02
4,1.324,-0.294,9.967
4,1.269,-0.335,9.962
4,1.549,-0.074,10.003
4,1.539,-0.354,9.979
4,2.289,-0.352,9.938
4,1.879,-0.201,9.977
4,2.179,-0.294,9.847
4,1.7,-0.218,9.979
4,2.43,-0.136,9.924
4,0.874,0.206,10.058
4,1.511,0.587,9.984
4,3.156,-0.491,9.799
4,2.15,-0.218,9.931
4,4.432,-0.668,9.754
4,3.218,-0.16,9.835
4,3.127,0.074,9.89
4,2.514,0.165,9.948
4,1.65,0.007,9.943
4,1.36,-0.053,9.96
4,1.312,-0.072,9.984
4,1.283,-0.091,9.998
4,1.267,-0.024,10.022
4,1.298,-0.043,9.977
4,1.322,-0.053,9.955
4,0.84,0.443,9.831
4,0.9,2.052,10.003
4,1.635,0.522,9.91
4,1.738,0.962,9.957
4,1.899,0.733,9.924
4,1.384,1.247,9.969
4,0.989,1.329,10.046
4,1.12,0.843,9.965
4,1.334,0.491,9.96
4,1.391,0.716,9.96
4,1.286,0.646,9.993
4,1.389,0.599,9.986
4,1.803,0.172,9.953
4,1.575,0.124,9.938
4,1.312,-0.019,9.998
4,1.549,-0.067,10.01
4,1.609,-0.053,9.924
4,1.453,-0.187,10.027
4,1.539,0.091,9.929
4,1.446,-0.275,10.005
4,1.465,-0.431,9.955
4,1.346,-0.74,10.072
4,1.425,-0.615,10.027
4,1.36,-0.567,9.981
4,1.204,-0.678,10.017
4,1.336,-0.405,9.955
4,1.204,-0.395,10.027
4,1.302,-0.5,9.989
4,0.96,-0.816,10.029
4,1.164,-0.721,10.017
4,1.171,-0.991,10.015
4,1.302,-1.228,9.977
4,1.25,-1.104,10.008
4,1.255,-1.42,10.027
4,1.142,-1.616,10.005
4,1.324,-1.745,10.003
4,1.355,-1.705,9.979
4,1.255,-0.436,10.029
4,1.305,-0.113,9.979
4,1.262,-0.034,9.989
4,1.262,-0.031,9.967
4,1.899,0.136,9.912
4,2.71,-0.204,9.795
4,2.502,-0.491,9.869
4,2.82,-0.266,9.862
4,2.758,-0.373,9.886
4,2.468,-0.062,9.917
4,2.421,-0.005,9.907
4,2.251,-0.18,9.917
4,1.961,-0.144,9.953
4,1.504,-0.146,9.977
4,1.132,-0.369,10.001
4,1.472,-0.156,10.048
4,1.379,-0.036,9.979
4,1.116,-0.187,10.003
4,0.915,0.266,10.027
4,1.087,0.158,9.996
4,1.032,0.242,10.036
4,0.781,0.395,10.025
4,1.144,-0.117,10.001
4,0.974,-0.33,10.001
4,1.075,-0.28,10.015
4,1.164,-0.012,9.998
4,1.106,0.055,10.017
4,0.479,0.022,10.046
4,1.089,0.086,10.027
4,0.939,0.029,10.017
4,1.037,0.177,10.034
4,0.821,0.038,10.072
4,1.231,-0.249,9.969
4,1.264,-0.182,10.01
4,1.068,-0.268,9.991
4,1.14,-0.156,10.02
4,0.919,-0.117,10.056
4,0.62,0.062,10.089
4,0.493,-0.041,10.063
4,0.441,-0.012,10.113
4,-0.048,-0.072,10.12
4,0.151,-0.091,10.104
4,0.062,-0.184,10.101
4,0.371,-0.235,10.08
4,1.207,-0.074,10.044
4,1.279,-0.043,10.001
4,1.312,-0.079,9.993
4,1.326,-0.093,9.986
4,2.483,-4.324,9.541
4,1.508,-1.525,9.902
4,1.398,-1.523,10.032
4,1.144,-1.738,10.01
4,1.571,-1.815,9.969
4,1.451,-1.59,9.998
4,1.279,-1.446,9.969
4,1.518,-0.948,9.943
4,1.283,-0.448,10.02
4,1.448,-0.771,9.974
4,1.362,-0.661,9.998
4,1.638,-0.393,9.991
4,1.161,0.093,10.015
4,1.417,-0.529,9.993
4,0.843,-0.026,10.013
4,1.252,0.065,9.984
4,1.329,0.014,10.005
4,0.785,0.215,10.032
4,1.465,0.182,9.986
4,0.898,0.354,9.989
4,1.101,0.215,10.039
4,1.472,0.283,9.984
4,1.338,0.443,9.965
4,1.142,0.024,9.981
4,1.413,0.168,10.01
4,1.264,0.268,10.022
4,1.264,0.29,10.017
4,1.267,0.594,9.991
4,1.422,0.091,9.993
4,1.214,0.208,10.005
4,1.549,0.342,10.025
4,1.516,0.285,9.965
4,1.326,0.115,9.965
4,1.185,0.46,9.989
4,1.362,0.488,9.965
4,1.262,0.687,9.946
4,1.41,0.663,9.941
4,1.367,0.457,9.996
4,1.29,0.773,9.974
4,1.405,1.152,9.979
4,1.393,1.204,9.977
4,1.324,1.132,9.967
4,1.307,0.187,10.008
4,1.279,-0.055,10.017
4,1.302,-0.124,10.003
5,1.358,-0.079,9.986
6,1.298,-0.062,9.902
6,1.302,-0.096,9.929
6,1.267,-0.069,10.029
6,1.245,-0.069,9.991
6,1.257,-0.081,9.969
6,1.314,-0.034,9.91
6,1.267,-0.074,9.986
6,1.267,-0.06,10.01
6,1.259,-0.055,10.008
6,0.931,0.093,9.934
6,0.982,-0.151,10.029
6,0.407,-0.225,10.096
6,0.797,-0.084,10.027
6,0.85,-0.271,10.015
6,0.936,-0.081,9.967
6,1.142,-0.182,10.032
6,1.003,0,10.036
6,0.627,-0.014,10.075
6,0.898,0.029,10.008
6,0.776,0.031,10.063
6,0.615,-0.041,10.027
6,0.46,0.034,10.077
6,0.429,-0.06,10.058
6,0.69,-0.29,10.06
6,0.8,-0.079,10.063
6,0.464,-0.041,10.058
6,0.584,-0.132,10.096
6,0.378,-0.213,10.053
6,0.352,-0.22,10.027
6,1.978,-0.239,9.89
6,1.374,0.065,10.013
6,0.29,0.002,10.101
6,2.045,-0.074,9.943
6,1.695,-0.108,9.991
6,1.353,-0.034,9.977
6,2.274,-0.151,9.838
6,1.482,-0.168,9.922
6,1.477,0.254,9.996
6,2.231,-0.235,9.881
6,1.07,0.141,10.039
6,1.903,-0.22,9.948
